Name;Country;Potential emissions (Gt CO2);Fuel;New project;Latitude;Longitude;Start year;Description;Operator;Operator copy;Banks;
Changcheng No.3 Coal Mine;China;11.0;Coal;New project;36.0;111.5;2008;Changcheng No.3 Coal Mine is located in Datong, Shanxi Province, China. It was established in 2008 with an initial capacity of 2.6 million tonnes of coal per year. The mine produces high-grade coking coal and is owned by Datong Coal Mine Group.;Datong Coal Mine Group;Datong Coal Mine Group;;
Shilawusu Coal Mine;China;39.0;Coal;New project;39.4;107.0;;This coal mine is focused on coal production to meet regional and national energy needs. It is located in the Inner Mongolia Autonomous Region.;Inner Mongolia Energy and Mining Group Co.;Inner Mongolia Energy and Mining Group Co.;;
Buertai Coal Mine;China;45.0;Coal;;42.3;119.0;;The project aims to exploit coal resources to supply the energy needs of the region and beyond. It is located in Inner Mongolia, an area rich in coal reserves.;Inner Mongolia Yitai Coal Co.;Inner Mongolia Yitai Coal Co.;;
Shitoumei No.1 Coal Mine;China;24.0;Coal;New project;29.2;106.5;2000;The Shitoumei No.1 Coal Mine is a coal mining project located in the southern part of China. The project was initiated in 2000 and is operated by the China National Coal Group. The project aims to produce 1 million tons of coal annually.;China National Coal Group;China National Coal Group;;
Fengjiata Coal Mine;China;12.0;Coal;;27.6;112.0;2015;The Fengjiata Coal Mine is a large open-pit coal mine in China’s Hunan Province. It was opened in 2015 and is expected to have a production capacity of up to 10 million tonnes of coal annually. It is owned by China Coal Energy Investment Co. Ltd., a subsidiary of the state-owned China National Coal Group.;China Coal Energy Investment Co. Ltd.;China Coal Energy Investment Co. Ltd.;;
Anjialing Open-Pit Mine;China;10.0;Coal;;34.2;111.3;2006;Anjialing open-pit mine is a large-scale open-pit coal mine located in the Hejin County of Shanxi Province, China. It has been in operation since 2006 and is operated by Shanxi Lu’an Group. It has an estimated annual capacity of 7 million tons of coal.;Shanxi Lu’an Group;Shanxi Lu’an Group;;
Xiaobaodang No.2 Coal Mine;China;19.0;Coal;New project;31.3;103.6;2008;The Xiaobaodang No.2 Coal Mine is a coal mine located in the Sichuan province of China. The mine began operations in 2008 and is owned by the Sichuan Energy Investment Group. It has a capacity of 1.2 million tonnes of coal per annum and is an important source of energy for the region.;Sichuan Energy Investment Group;Sichuan Energy Investment Group;;
Xinzhuang Coal Mine;China;23.0;Coal;New project;34.8;113.1;2005;The Xinzhuang Coal Mine is located in the Henan Province of China. It was originally opened in 2005 and is owned by the China National Coal Group. The mine has an annual production capacity of 5 million tons of coal and is considered one of the most efficient coal mines in China.;China National Coal Group;China National Coal Group;;
Hetaoyu Coal Mine;China;30.0;Coal;New project;25.4;103.7;2004;The Hetaoyu Coal Mine is a large open pit coal mine located in the Guangxi Zhuang Autonomous Region of China. It was established in 2004 and has been in operation since then. The mine has an estimated reserve of 600 million tons of coking coal and is operated by China National Coal Group. The mine produces coal for both domestic use and export purposes.;China National Coal Group;China National Coal Group;;
Menkeqing Coal Mine;China;37.0;Coal;;37.9;107.7;2009;The Menkeqing Coal Mine is a large open-pit coal mine located in the Jingtai County of Gansu Province, China. The mine has an estimated reserve of 1 billion tons of coal and has been in production since 2009. It is owned and operated by the China National Coal Group Corporation (中国煤炭集团公司).;China National Coal Group Corporation;China National Coal Group Corporation;;
Talahao Coal Mine;China;13.0;Coal;;24.3;103.8;2006;Talahao Coal Mine is an open-pit coal mine located in the Yulin province of China. It was launched in 2006 by the China National Coal Group Corporation (CNCC) and is the largest coal mine in the region. The mine produces over 3 million tonnes of coal annually, which is used for electricity generation, steel production and other industrial activities.;China National Coal Group Corporation (CNCC);China National Coal Group Corporation (CNCC);;
Baiyinhua No.3 Surface Mine;China;16.0;Coal;;42.2;117.9;2006;Baiyinhua No.3 Surface Mine is a large open-pit coal mining project located in Inner Mongolia, China. The project was established in 2006, with the main objective of exploiting the coal resources in the area for energy production. The mine is owned and operated by the Baiyinhua Mining Group.;Baiyinhua Mining Group;Baiyinhua Mining Group;;
Pingshuo East Coal Mine;China;26.0;Coal;;37.2;109.7;2006;The Pingshuo East Coal Mine is located in Shanxi Province, in the southern region of China. The mine is owned by Shanxi Pingshuo Group and began operations in 2006. It is one of the largest coal mines in the region, and produces a variety of high quality coal. The mine is estimated to have a production capacity of 2.5 million tonnes of coal per year.;Shanxi Pingshuo Group;Shanxi Pingshuo Group;;
Dafosi Coal Mine;China;14.0;Coal;;31.0;108.9;2017;The Dafosi Coal Mine is a coal mine located in China's Panzhihua city. The mine was opened in 2017 and is operated by the Sichuan Investment Group. The mine will have a coal production capacity of 5 million tons per year.;Sichuan Investment Group;Sichuan Investment Group;;
Yangquan No.1 Coal Mine;China;12.0;Coal;;37.9;113.6;2008;Yangquan No.1 Coal Mine is located in the Yangquan Coal Industry Group’s mining area in Shanxi Province, China. It is the first large-scale coal mine to use an integrated coal mining and washing process. The mine has an annual capacity of 2.5 million tons of coal, and the coal produced is used for local power generation. The project was established in 2008 and is owned by Yangquan Coal Industry Group.;Yangquan Coal Industry Group;Yangquan Coal Industry Group;;
Shengli East No.2 Coal Mine;China;46.0;Coal;;35.9;104.6;;The mine primarily focuses on coal production to meet local and national energy needs. It is part of the larger Shengli coal mining area.;Lanzhou Shengli Coal Mine Group Co.;Lanzhou Shengli Coal Mine Group Co.;;
Huojitu Well Of Daliuta Coal Mine;China;11.0;Coal;;39.0;117.9;2011;The Huojitu Well of Daliuta Coal Mine is a large underground coal mine located in the Inner Mongolia Autonomous Region of China. The mine began operations in 2011 and is owned and operated by the Daliuta Coal Mining Company. The mine produces over 12 million tonnes of coal annually and is one of the largest coal mines in the country.;Daliuta Coal Mining Company;Daliuta Coal Mining Company;;
Gaotouyao Coal Mine;China;19.0;Coal;;29.9;119.7;2016;The Gaotouyao Coal Mine is located in the city of Jingdezhen in the southeastern Chinese province of Jiangxi. It is a large-scale open-pit coal mine with an annual production capacity of 4 million tons of raw coal. Gaotouyao Coal Mine is the first large-scale coal mine in Jiangxi to be operated with the world's most advanced surface mining technology. The mine is expected to help reduce the cost of coal production in the region and improve the local economy.;Jiangxi Coal Mining Group Co.;Jiangxi Coal Mining Group Co.;;
Zhundong Surface Mine;China;35.0;Coal;New project;40.8;110.0;2020;Zhundong Surface Mine is located in the Zhundong Coal Mining Area in Inner Mongolia, China. The project is expected to produce around 10 million tonnes of coal annually. It features a complex of open-pit and underground coal mines, as well as a coal-washing plant and a coal-fired power plant. The project was approved in 2020 and is expected to be completed by 2022.;China Shenhua Energy Company;China Shenhua Energy Company;;
Yadian Coal Mine;China;15.0;Coal;New project;39.7;107.8;2010;The Yadian Coal Mine is located in the Yadian Coal Field in Inner Mongolia, China. It is owned and operated by Shanxi Coking Coal Group, a state-owned enterprise. The mine has been in operation since 2010 and produces coking coal for use in steel production.;Shanxi Coking Coal Group;Shanxi Coking Coal Group;;
Wudong Coal Mine;China;16.0;Coal;;25.6;111.8;2008;The Wudong Coal Mine is located in the province of Guangxi, China. The mine is owned and operated by China Coal Energy Company Limited, a subsidiary of China National Coal Group Corporation. The mine is the largest coal mining operation in the country, producing over 10 million tonnes of coal per year with an investment of CNY 18 billion. The mine is expected to continue producing coal until 2028.;China Coal Energy Company Limited;China Coal Energy Company Limited;;
Shanxi Lu'an Gucheng Coal Mine;China;18.0;Coal;;37.9;112.7;2005;The Shanxi Lu'an Gucheng Coal Mine is a coal mining project located in the Shanxi province of China. The project was initially proposed in 2005 and was approved by China's National Development and Reform Commission in 2006. The project has an estimated total investment of 8.4 billion yuan (1.26 billion US dollars). It has a designed annual capacity of 10 million tons and is expected to produce 2.6 million tons of coal in the first year. The coal produced from the project is used to supply the local power plants.;Shanxi Lu'an Mining Co.;Shanxi Lu'an Mining Co.;;
Shigetai Coal Mine;China;12.0;Coal;;43.9;125.1;2013;The Shigetai Coal Mine is a large open-pit coal mine located in the Heilongjiang Province of China. It is operated by the Shendong Coal Group, one of the largest coal producers in the country. The mine has an estimated life of 11 years and produces about 30 million tonnes of coal per year.;Shendong Coal Group;Shendong Coal Group;;
Majialiang Coal Mine;China;32.0;Coal;;30.5;114.9;2006;Majialiang Coal Mine is the largest coal mine in China, located in the Henan province. It has been in operation since 2006 and produces over 10 million tons of coal annually.;Huaibei Mining Group Co. Ltd;Huaibei Mining Group Co. Ltd;;
Qingshuiying Coal Mine;China;18.0;Coal;;24.6;118.6;2011;The Qingshuiying Coal Mine is a large-scale coal mining project located in the Hebei province of China, about 200 kilometers south of Beijing. The project was initiated in 2011 and is owned and operated by the China National Coal Group Corporation. The project is estimated to have a total investment of $1.5 billion and will produce 20 million tons of coal per year. The project is expected to have a life span of 20 years.;China National Coal Group Corporation;China National Coal Group Corporation;;
Daliuta Coal Mine;China;12.0;Coal;;31.3;112.8;2001;Daliuta Coal Mine is a large open-pit coal mine located in Inner Mongolia, China. It began operations in 2001 and is owned and operated by the Chinese state-owned coal mining company, Shenhua Group. The mine produces large amounts of coal which is used to produce electricity and to fuel industrial activity in the region.;Shenhua Group;Shenhua Group;;
Madaotou Coal Mine;China;18.0;Coal;New project;40.5;117.7;2011;The Madaotou Coal Mine is a coal mining project located in Inner Mongolia, China. The mine is owned by the China Huaneng Group, one of the largest state-owned energy companies in China. The mine has the capacity to produce up to 10 million tons of coal annually, which is used to produce electricity and other industrial products.;China Huaneng Group;China Huaneng Group;;
Shangyuquan Coal Mine;China;14.0;Coal;;28.6;108.7;2009;The Shangyuquan Coal Mine is a large open-pit coal mine located in Yuxi, Yunnan Province, China. The mine has a capacity of 10 million tons of coal per year and was established in 2009 to supply electricity and heat to the nearby Yuxi power plant.;Yunnan Yuxi Energy Group;Yunnan Yuxi Energy Group;;
Guojiawan Coal Mine;China;19.0;Coal;;28.9;107.0;1991;Guojiawan Coal Mine is located near the town of Guojiawan in the Chongqing municipality in China. The coal mine produces coal for energy and industrial processes. It has been in operation since 1991 and is owned by China's state-owned coal mining company, China Shenhua Energy.;China Shenhua Energy;China Shenhua Energy;;
Jiangjun Gebi No.2 Coal Mine;China;78.0;Coal;New project;47.4;123.5;;Jiangjun Gebi No.2 Coal Mine is an underground coal mine located in Heilongjiang Province, China. It is operated by the state-owned company Heilongjiang Longmay Mining Holding Group. The mine produces thermal coal which is primarily used for electricity generation and industrial purposes.;Heilongjiang Longmay Mining Holding Group;Heilongjiang Longmay Mining Holding Group;;
Tashan Coal Mine;China;90.0;Coal;;37.2;114.5;1958;Tashan Coal Mine is a large underground coal mine located in Hebei Province, China. It was established in 1958 and is operated by the state-owned company Hebei Longmei Group. The mine produces thermal coal which is primarily used for electricity generation and industrial purposes.;Hebei Longmei Group;Hebei Longmei Group;;
Taran Gaole Coal Mine;China;29.0;Coal;New project;28.2;108.4;1993;The Taran Gaole Coal Mine is located in the Yunnan Province of China. It is one of the largest coal mines in the country, producing over 6 million tonnes of coal each year. The mine is operated by the China National Coal Group Corporation, the largest coal producer in the country.;China National Coal Group Corporation;China National Coal Group Corporation;;
Weijiamao Open Pit Mine;China;17.0;Coal;;28.6;106.6;2011;The Weijiamao Open Pit Mine is located in the Sichuan province of China and is owned and operated by China Coal Energy Company Limited. It is one of the largest coal mining projects in the province and has been in operation since 2011. The mine produces both thermal coal and coking coal and is a vital source of energy for the country.;China Coal Energy Company Limited;China Coal Energy Company Limited;;
Cambrian/Silurian Marine Shale;China;24.0;Oil&Gas;New project;37.2;112.9;2014;Cambrian/Silurian Marine Shale is a major shale gas project located in the Shanxi Province of China. It is operated by the China National Petroleum Corporation (CNPC), the largest oil and gas company in the country. The project was initiated in 2014 and is expected to produce up to 20 billion cubic meters of natural gas per year. The project is expected to help reduce China's reliance on coal as an energy source.;China National Petroleum Corporation (CNPC);China National Petroleum Corporation (CNPC);;
Gaohe Coal Mine;China;15.0;Coal;;37.2;111.6;2004;The Gaohe coal mine is located in Shanxi Province, China, and is operated by Shanxi Gujiao Mining Co. Ltd. The mine is owned by Shanxi Coking Coal Group. It is a large-scale open-pit coal mining project, and its main purpose is to provide coal to the coal-fired power plants in the region. The project has a total extraction capacity of 2.1 million tons per year.;Shanxi Gujiao Mining Co. Ltd,Shanxi Coking Coal Group;Shanxi Gujiao Mining Co. Ltd,Shanxi Coking Coal Group;;
Zhangjiamao Coal Mine;China;13.0;Coal;;25.9;114.8;2005;The Zhangjiamao Coal Mine is located in the Zhangjiamao district of Shaanxi, China. It is owned by the Shaanxi Coal and Chemical Industry Group and is one of the largest coal mines in the province. The project is intended to provide a steady supply of coal to power plants and other industrial customers in the region.;Shaanxi Coal and Chemical Industry Group;Shaanxi Coal and Chemical Industry Group;;
Huangling No.2 Coal Mine;China;14.0;Coal;;35.2;109.9;1997;The Huangling No.2 Coal Mine is an open-pit coal mine located in the Huangling Township of Yulin City in the Shaanxi Province of China. The project was commissioned in 1997 and is owned by the Huangling Second Coal Mining Company. The project produces approximately 3 million tons of coal each year and is one of the largest coal mines in the region.;Huangling Second Coal Mining Company;Huangling Second Coal Mining Company;;
Dananhu No.1 Coal Mine;China;72.0;Coal;;39.8;98.6;1958;Dananhu No. 1 Coal Mine is a large underground coal mine located in Gansu Province, China. It was established in 1958 and is operated by the state-owned company Gansu Jinchuan Group. The mine produces thermal coal which is primarily used for electricity generation and industrial purposes.;Gansu Jinchuan Group;Gansu Jinchuan Group;;
Yimin Surface Coal Mine;China;20.0;Coal;;35.1;106.0;2003;The Yimin Open Pit Coal Mine is located in Yimin county, Inner Mongolia, China. It is owned and operated by Yimin Coal And Electricity Group, established in 2003. The mine is the largest open-pit coal mine in Asia, and produces about 20 million tonnes of coal per year.;Yimin Coal And Electricity Group;Yimin Coal And Electricity Group;;
Gaojiabao Coal Mine;China;11.0;Coal;;37.5;110.6;2007;The Gaojiabao Coal Mine is an open-pit coal mine located in the city of Shuozhou, Shanxi province, China. The mine is operated by China’s largest coal producer, Shanxi Coking Coal Group. The mine began operations in 2007 and currently produces about 13 million tons of coal each year.;Shanxi Coking Coal Group;Shanxi Coking Coal Group;;
Yushuwan Coal Mine;China;28.0;Coal;;45.0;130.0;2004;The Yushuwan coal mine is located in the north-western region of China and produces coal for the domestic market, primarily for power plants. The mine began operations in 2004 and is operated by Yushuwan Coal Group Co. Ltd, a subsidiary of China Coal Energy Co. Ltd.;Yushuwan Coal Group Co. Ltd,China Coal Energy Co. Ltd.;Yushuwan Coal Group Co. Ltd,China Coal Energy Co. Ltd.;;
Yangchangwan No.1 Well Coal Mine;China;11.0;Coal;;31.2;118.9;1995;The Yangchangwan No.1 Well Coal Mine is located in the Yangcheng County of Shanxi Province in China. The mine was established in 1995 by the Shanxi Yangcheng Coal Industry Group, and produces high quality coal for the energy industry. It has an annual production capacity of 2.5 million tons of coal.;Shanxi Yangcheng Coal Industry Group;Shanxi Yangcheng Coal Industry Group;;
Xiaozhuang Coal Mine;China;14.0;Coal;;36.5;114.3;2001;Xiaozhuang Coal Mine is a coal mining project located in the Shanxi province of China. It was one of the largest coal mines in the country, with an estimated annual production capacity of 2.5 million tonnes. The project was initiated in 2001 by the China National Coal Group Corporation (CNCC) and was estimated to hold reserves of 6.2 million tonnes of coal. The main objective of the project was to provide energy for the country’s growing population and industry.;China National Coal Group Corporation (CNCC);China National Coal Group Corporation (CNCC);;
Hulusu Coal Mine;China;40.0;Coal;;41.8;123.5;;The project aims to exploit coal resources to supply the energy needs of the Liaoning Province and beyond. The mine is located in an area rich in coal reserves.;Liaoning Fuxin Mining Group Co.;Liaoning Fuxin Mining Group Co.;;
Shajihai No.2 Coal Mine;China;11.0;Coal;;39.5;116.1;2009;Shajihai No.2 Coal Mine is an open-pit coal mine located in the Shanxi Province of China. It was commissioned in 2009 and is owned by Shanxi Coking Coal Group (SCCG), the largest coal company in China. The project was constructed as part of a plan to increase the country’s coal production and decrease its dependence on foreign imports. The mine has a production capacity of 4 million tons of coal per year.;Shanxi Coking Coal Group (SCCG);Shanxi Coking Coal Group (SCCG);;
Balasu Coal Mine;China;64.0;Coal;New project;47.3;88.1;1990;Balasu is a large open-pit coal mine located in the Xinjiang Uygur Autonomous Region in northwestern China. It was established in 1990 and is operated by the Xinjiang Guotai Mining Co. Ltd. The mine produces thermal coal which is used for electricity generation and other industrial purposes.;Xinjiang Guotai Mining Co. Ltd.;Xinjiang Guotai Mining Co. Ltd.;;
Yangjiacun Coal Mine;China;11.0;Coal;;30.8;113.9;1956;The Yangjiacun Coal Mine is a large coal mine located in China's Hunan Province. It is one of the largest coal mines in the world and has been in operation since 1956. The mine produces coal for power generation and is operated by China National Coal Group Corporation.;China National Coal Group Corporation;China National Coal Group Corporation;;
Shanxi Dongda Coal Mine;China;10.0;Coal;New project;37.8;111.7;1987;Shanxi Dongda Coal Mine is a large-scale coal mining project located in Shanxi Province, China. The mine has been in operation since 1987 and supplies coal to the local power industry. The project is owned and operated by Shanxi Exploration and Development Company (SEDC). The mine produces over 7 million tonnes of coal annually.;Shanxi Exploration and Development Company (SEDC);Shanxi Exploration and Development Company (SEDC);;
Wenjiazhuang Coal Mine;China;13.0;Coal;New project;39.8;115.7;2007;Wenjiazhuang Coal Mine is located in Hebei Province, China. It is one of the largest coal mines in the province and has been in operation since 2007. The mine has an annual production capacity of 10 million tons of coal and is operated by a joint venture of China National Coal Group and Hebei Energy Investment Co., Ltd.;China National Coal Group,Hebei Energy Investment Co.;China National Coal Group,Hebei Energy Investment Co.;;
Ba Leng Coal Mine;China;11.0;Coal;New project;28.2;108.9;2005;Ba Leng Coal Mine is an open-pit coal mining project located in China's Guizhou province, operated by the state-owned China National Coal Group. The project was established in 2005 and has a planned production capacity of 6 million tons of coal per year. The coal produced is primarily intended for power generation.;China National Coal Group;China National Coal Group;;
Xiwan Surface Coal Mine;China;15.0;Coal;;35.7;103.7;2009;The Xiwan Surface Coal Mine is an open-pit coal mine located in the Shaanxi Province of China. It was built in 2009 and is operated by the China National Coal Group Corporation. The mine produces over 1 million tonnes of coal annually, making it one of the largest coal producers in the region. The mine has become the focus of attention due to its environmental impacts, including air and water pollution.;China National Coal Group Corporation;China National Coal Group Corporation;;
Sandaogou Coal Mine;China;23.0;Coal;;39.8;109.8;2010;Sandaogou coal mine is located in Yulin City, Shaanxi Province, China. The project was owned by the Wuqi Mining Co Ltd and began operations in 2010. It is one of the largest open-pit coal mines in China and currently produces an output of 5 million tonnes of coal per year.;Wuqi Mining Co Ltd;Wuqi Mining Co Ltd;;
Tarim (CNPC);China;20.0;Oil&Gas;;38.0;79.3;2001;Tarim (CNPC) is a oil and gas project located in the Tarim basin in the Xinjiang Uyghur Autonomous Region of China. The project was initiated by China National Petroleum Corporation (CNPC) in 2001 and is currently operated by this company. The project's main objective is to exploit the oil and gas resources of the Tarim basin in the Xinjiang region.;China National Petroleum Corporation (CNPC);China National Petroleum Corporation (CNPC);;
West Well of Faer Second Coal Mine;China;10.0;Coal;New project;35.6;103.5;2009;The West Well of Faer Second Coal Mine is a large coal mining project located in the western region of China. The project began in 2009 and has an estimated production capacity of 2.2 million tons of coal per year. The mine is owned and operated by China Shenhua Energy, one of China's largest state-owned coal companies.;China Shenhua Energy;China Shenhua Energy;;
Yingpanhao Coal Mine;China;38.0;Coal;New project;32.9;103.9;2007;Yingpanhao Coal Mine is a coal mining project located in Sichuan Province, China. The project began operation in 2007 and is owned by China's largest coal mining enterprise, the Shenhua Group. The mine was initially planned to produce 10 million tons of coal per year, but has since been expanded to a capacity of up to 30 million tons of coal annually.;Shenhua Group;Shenhua Group;;
Qingchunta Coal Mine;China;14.0;Coal;;32.1;109.8;2018;Qingchunta Coal Mine is located in the Shanxi Province in China, and is operated by Shanxi Tianrong Mining Co. Ltd. The mine started production in 2018 and produces low-sulfur coal, which is used as fuel in coal-fired power plants.;Shanxi Tianrong Mining Co. Ltd;Shanxi Tianrong Mining Co. Ltd;;
Wucaiwan No.1 Surface Mine;China;14.0;Coal;;28.9;105.6;2016;The Wucaiwan No.1 Surface Mine is a coal mining project located in Wucaiwan, China. It began operations in 2016 and is owned by the China National Coal Group (ChinaCoal). The project is expected to produce 10 million tons of coal per year.;China National Coal Group (ChinaCoal);China National Coal Group (ChinaCoal);;
Hongliulin Coal Mine;China;31.0;Coal;;37.9;112.5;1982;The Hongliulin Coal Mine is located in Shanxi Province, China. It is a state-owned enterprise managed by Shanxi Coking Coal Group. The mine consists of two open-pit workings and has a total production capacity of 3.6 million tonnes per year. The coal mine was established in 1982 and is currently one of the largest coal mining operations in China.;Shanxi Coking Coal Group;Shanxi Coking Coal Group;;
Baijia Haizi Coal Mine;China;50.0;Coal;New project;41.0;111.4;2001;Baijia Haizi is a large open-pit coal mine located in the Inner Mongolia Autonomous Region in northern China. It was established in 2001 and is operated by the Shenhua Group Corporation Ltd. The mine produces thermal coal which is used for electricity generation and other industrial purposes.;Shenhua Group Corporation Ltd.;Shenhua Group Corporation Ltd.;;
Ningxia Hongliu Coal Mine;China;29.0;Coal;;37.9;107.9;2012;The Ningxia Hongliu Coal Mine is a large open-pit coal mine located in the province of Ningxia in China. It was commissioned in 2012 and is operated by the China Shenhua Energy Company. The mine produces approximately 25 million tonnes of coal annually and has a maximum depth of 400 metres.;China Shenhua Energy Company;China Shenhua Energy Company;;
Huangyuchuan Coal Mine;China;23.0;Coal;;38.0;111.7;2008;The Huangyuchuan Coal Mine is an open-pit coal mine located in Shanxi Province in the People’s Republic of China. The project was first proposed in 2006 and was approved for construction in 2008. It is the most advanced coal mine in the province and is expected to produce over 1.2 million tonnes of coal annually.;China National Coal Group Corp.;China National Coal Group Corp.;;
Zhong Yu Coal Mine;China;14.0;Coal;New project;29.1;116.5;2012;The Zhong Yu coal mine is located in the Yunnan Province of southern China. The mine has been in operation since 2012, and is owned by the China National Coal Group Corporation. Zhong Yu is one of the largest coal mines in China, with a production capacity of 5.3 million tonnes of coal per year.;China National Coal Group Corporation;China National Coal Group Corporation;;
Jinjitan Coal Mine;China;22.0;Coal;New project;28.9;113.1;2006;Jinjitan Coal Mine is an underground coal mine located in the Jiujiang district of Jiangxi Province, China. It is operated by ChinaCoal Energy Group and has an annual production capacity of 5 million tons. The coal mined from the Jinjitan Mine is used for energy production in China, and is primarily used in thermal power plants.;ChinaCoal Energy Group;ChinaCoal Energy Group;;
Changqing;China;49.0;Oil&Gas;;35.5;109.4;1976;Changqing is one of China's largest onshore oil and gas fields. It focuses on oil and natural gas exploitation, with objectives to reduce dependence on foreign resources.;China National Petroleum Corporation (CNPC);China National Petroleum Corporation (CNPC);;
Hongqinghe Coal Mine;China;57.0;Coal;;31.4;107.0;;Longmaxi Shale is a shale gas project located in the Sichuan Basin in southwestern China. It is one of the largest shale gas reserves in China and is being developed by several companies, including Sinopec, PetroChina, and CNPC. The project aims to extract natural gas from shale rock formations deep beneath the ground. The development of shale gas is important for China's energy security and reducing its reliance on imported fossil fuels.;Sinopec,PetroChina,CNPC;Sinopec,PetroChina,CNPC;;
Dananhu West No.2 Coal Mine;China;27.0;Coal;New project;40.8;108.1;2010;The Dananhu West No.2 Coal Mine is an open-pit coal mine located in the Inner Mongolia Autonomous Region of China. The mine has an estimated capacity of 7 million tonnes of coal per year and is operated by the China National Coal Group. The mine was opened in 2010 and is part of China National Coal Group’s larger Dananhu West Mining Area.;China National Coal Group;China National Coal Group;;
Xiaobaodang No.1 Coal Mine;China;38.0;Coal;;29.9;106.5;2009;Xiaobaodang No. 1 Coal Mine is a large-scale open-pit coal mine located in the city of Chongqing, China. The mine was opened in 2009 and is operated by China Resources (Holdings) Co. Ltd. The mine produces over 6 million tons of coal a year, making it one of the largest coal mines in China. The coal is used to power nearby factories, as well as to generate electricity for the local region.;China Resources (Holdings) Co. Ltd.;China Resources (Holdings) Co. Ltd.;;
Baishihu Surface Mine;China;13.0;Coal;;30.9;121.4;2005;The Baishihu Surface Mine is a coal mine located in Jiaonan, Qingdao, China. It is owned and operated by the China National Coal Mining Engineering Corporation. The mine opened in 2005 and is estimated to have a production capacity of 11 million tonnes of coal per year.;China National Coal Mining Engineering Corporation;China National Coal Mining Engineering Corporation;;
Jinjie Coal Mine;China;39.0;Coal;;36.6;104.2;;The mine primarily focuses on coal production to meet local and national energy needs. It is part of the larger Gansu Province coal mining area.;Gansu Jinjie Mining Co.;Gansu Jinjie Mining Co.;;
Baiyanghe Coal Mine;China;12.0;Coal;New project;37.6;107.4;1997;Baiyanghe Coal Mine is located in Shanxi Province, China. It is owned by Shanxi Coking Coal Group, a state-owned company, and has been in operation since 1997. The mine produces coal for power generation and for use in the steel industry. It has an annual production capacity of 6 million tons of coal.;Shanxi Coking Coal Group;Shanxi Coking Coal Group;;
Central Uplift Onshore Xinjiang Uygur Autonomous Region;China;10.0;Oil&Gas;New project;43.9;87.5;2017;The Central Uplift Onshore Xinjiang Uygur Autonomous Region project is a large-scale oil exploitation project in China's Xinjiang Uygur Autonomous Region. The project began in 2017, with the goal of extracting more than 10 million tons of oil in the region. The project is being operated by the Chinese National Petroleum Corporation (CNPC) and is expected to have a significant impact on the region's economy.;Chinese National Petroleum Corporation (CNPC);Chinese National Petroleum Corporation (CNPC);;
Mengcun Coal Mine;China;14.0;Coal;New project;37.3;115.0;1978;Mengcun Coal Mine is a large-scale coal mining project located in Hebei province, China. It was established in 1978 in order to meet the country’s growing demand for coal. The mine is operated by Mengcun Mining Corporation and produces around 4 million tonnes of coal annually.;Mengcun Mining Corporation;Mengcun Mining Corporation;;
Shenhua Bulianta Coal Mine;China;22.0;Coal;;40.8;119.8;2005;Shenhua Bulianta Coal Mine is a coal mining project owned by the Shenhua Group, a Chinese state-owned enterprise. The project is located in Inner Mongolia and began operations in 2005. It is the largest open-pit coal mine in Asia and produces more than 20 million tons of coal annually.;Shenhua Group;Shenhua Group;;
Longwanggou Coal Mine;China;19.0;Coal;;37.9;112.7;1995;The Longwanggou Coal Mine is an open-pit coal mine located in Shanxi province, China. It is the largest coal mine in the province, with an estimated reserve of 1.2 billion tons. The mine was established in 1995 and is operated by the Shanxi Longwanggou Coal Mining Corporation.;Shanxi Longwanggou Coal Mining Corporation;Shanxi Longwanggou Coal Mining Corporation;;
Baode Coal Mine;China;17.0;Coal;;34.6;114.2;2008;Baode Coal Mine is a coal mining project located in the north of China in Shanxi Province. It was established in 2008 by the China National Coal Group. The project was designed to produce 5 million tonnes of coal annually, with an estimated total investment of $3 billion.;China National Coal Group;China National Coal Group;;
Shangwan Coal Mine;China;18.0;Coal;;30.2;114.2;2000;The Shangwan Coal Mine is one of the largest coal mines in China, located in the southwestern province of Chongqing. It is owned by the state-owned China National Coal Mining Engineering Corporation (CNCMEC). The mine began operations in 2000 and has an annual production capacity of 10 million tons of coal.;China National Coal Mining Engineering Corporation (CNCMEC);China National Coal Mining Engineering Corporation (CNCMEC);;
Nalin River No.2 Coal Mine;China;17.0;Coal;New project;31.3;110.9;2016;The Nalin River No.2 Coal Mine is a coal mining project located in the Sichuan province of China. It is owned and operated by the Nalin Coal Mining Company, and began operations in 2016. The project is designed to produce 10 million tons of coal each year, and will provide power for the region.;Nalin Coal Mining Company;Nalin Coal Mining Company;;
Suancigou Coal Mine;China;21.0;Coal;;39.1;108.9;2004;The Suancigou Coal Mine is located in the Ordos Basin in Inner Mongolia, China. The mine was opened in 2004 and is owned by the China National Coal Group. It is a large open-pit coal mine with an area of approximately 868 hectares, and a total production capacity of 8 million metric tons per year.;China National Coal Group;China National Coal Group;;
Wangjialing Coal Mine;China;27.0;Coal;;35.4;113.1;2009;The Wangjialing Coal Mine is located in the Chinese province of Shanxi and has a total annual production capacity of 10 million tonnes of coal. The mine began operations in 2009 and is owned by the China National Coal Group. It is one of the largest coal mines in the world and provides energy for most of the region.;China National Coal Group;China National Coal Group;;
