T02,"Population, density and surface area",,,,,
854,Burkina Faso,2020,Surface area (thousand km2),274,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
854,Burkina Faso,2022,Population mid-year estimates (millions),22.67,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
854,Burkina Faso,2022,Population mid-year estimates for males (millions),11.30,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
854,Burkina Faso,2022,Population mid-year estimates for females (millions),11.37,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
854,Burkina Faso,2022,Sex ratio (males per 100 females),99.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
854,Burkina Faso,2022,Population aged 0 to 14 years old (percentage),43.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
854,Burkina Faso,2022,Population aged 60+ years old (percentage),4.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
854,Burkina Faso,2022,Population density,82.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2010,Population mid-year estimates (millions),9.13,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2010,Population mid-year estimates for males (millions),4.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2010,Population mid-year estimates for females (millions),4.61,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2010,Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2010,Population aged 0 to 14 years old (percentage),44.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2010,Population aged 60+ years old (percentage),3.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2010,Population density,351.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2015,Population mid-year estimates (millions),10.73,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2015,Population mid-year estimates for males (millions),5.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2015,Population mid-year estimates for females (millions),5.41,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2015,Sex ratio (males per 100 females),98.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2015,Population aged 0 to 14 years old (percentage),46.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2015,Population aged 60+ years old (percentage),3.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2015,Population density,413.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2015,Surface area (thousand km2),28,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
108,Burundi,2020,Population mid-year estimates (millions),12.22,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2020,Population mid-year estimates for males (millions),6.07,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2020,Population mid-year estimates for females (millions),6.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2020,Sex ratio (males per 100 females),98.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2020,Population aged 0 to 14 years old (percentage),46.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2020,Population aged 60+ years old (percentage),3.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2020,Population density,470.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2020,Surface area (thousand km2),28,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
108,Burundi,2022,Population mid-year estimates (millions),12.89,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2022,Population mid-year estimates for males (millions),6.40,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2022,Population mid-year estimates for females (millions),6.49,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2022,Sex ratio (males per 100 females),98.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2022,Population aged 0 to 14 years old (percentage),45.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2022,Population aged 60+ years old (percentage),3.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
108,Burundi,2022,Population density,496.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2010,Population mid-year estimates (millions),0.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2010,Population mid-year estimates for males (millions),0.26,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2010,Population mid-year estimates for females (millions),0.26,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2010,Sex ratio (males per 100 females),99.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2010,Population aged 0 to 14 years old (percentage),32.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2010,Population aged 60+ years old (percentage),7.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2010,Population density,129.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2015,Population mid-year estimates (millions),0.55,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2015,Population mid-year estimates for males (millions),0.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2015,Population mid-year estimates for females (millions),0.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2015,Sex ratio (males per 100 females),99.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2015,Population aged 0 to 14 years old (percentage),29.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2015,Population aged 60+ years old (percentage),7.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2015,Population density,137.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2015,Surface area (thousand km2),4,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
132,Cabo Verde,2020,Population mid-year estimates (millions),0.58,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2020,Population mid-year estimates for males (millions),0.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2020,Population mid-year estimates for females (millions),0.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2020,Sex ratio (males per 100 females),98.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2020,Population aged 0 to 14 years old (percentage),27.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2020,Population aged 60+ years old (percentage),8.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2020,Population density,144.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2020,Surface area (thousand km2),4,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
132,Cabo Verde,2022,Population mid-year estimates (millions),0.59,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2022,Population mid-year estimates for males (millions),0.29,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2022,Population mid-year estimates for females (millions),0.30,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2022,Sex ratio (males per 100 females),98.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2022,Population aged 0 to 14 years old (percentage),26.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2022,Population aged 60+ years old (percentage),8.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
132,Cabo Verde,2022,Population density,147.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2010,Population mid-year estimates (millions),14.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2010,Population mid-year estimates for males (millions),7.10,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2010,Population mid-year estimates for females (millions),7.26,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2010,Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2010,Population aged 0 to 14 years old (percentage),32.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2010,Population aged 60+ years old (percentage),5.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2010,Population density,79.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2015,Population mid-year estimates (millions),15.42,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2015,Population mid-year estimates for males (millions),7.63,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2015,Population mid-year estimates for females (millions),7.79,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2015,Sex ratio (males per 100 females),98.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2015,Population aged 0 to 14 years old (percentage),30.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2015,Population aged 60+ years old (percentage),7.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2015,Population density,85.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2015,Surface area (thousand km2),181,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
116,Cambodia,2020,Population mid-year estimates (millions),16.40,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2020,Population mid-year estimates for males (millions),8.12,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2020,Population mid-year estimates for females (millions),8.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2020,Sex ratio (males per 100 females),98.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2020,Population aged 0 to 14 years old (percentage),29.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2020,Population aged 60+ years old (percentage),8.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2020,Population density,90.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2020,Surface area (thousand km2),181,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
116,Cambodia,2022,Population mid-year estimates (millions),16.77,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2022,Population mid-year estimates for males (millions),8.30,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2022,Population mid-year estimates for females (millions),8.47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2022,Sex ratio (males per 100 females),98.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2022,Population aged 0 to 14 years old (percentage),28.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2022,Population aged 60+ years old (percentage),9.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
116,Cambodia,2022,Population density,92.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2010,Population mid-year estimates (millions),19.88,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2010,Population mid-year estimates for males (millions),9.89,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2010,Population mid-year estimates for females (millions),9.99,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2010,Sex ratio (males per 100 females),99.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2010,Population aged 0 to 14 years old (percentage),43.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2010,Population aged 60+ years old (percentage),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2010,Population density,42.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2015,Population mid-year estimates (millions),23.01,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2015,Population mid-year estimates for males (millions),11.46,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2015,Population mid-year estimates for females (millions),11.55,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2015,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2015,Population aged 0 to 14 years old (percentage),43.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2015,Population aged 60+ years old (percentage),4.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2015,Population density,49.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2015,Surface area (thousand km2),476,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
120,Cameroon,2020,Population mid-year estimates (millions),26.49,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2020,Population mid-year estimates for males (millions),13.21,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2020,Population mid-year estimates for females (millions),13.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2020,Sex ratio (males per 100 females),99.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2020,Population aged 0 to 14 years old (percentage),42.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2020,Population aged 60+ years old (percentage),4.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2020,Population density,56.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2020,Surface area (thousand km2),476,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
120,Cameroon,2022,Population mid-year estimates (millions),27.91,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2022,Population mid-year estimates for males (millions),13.92,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2022,Population mid-year estimates for females (millions),13.99,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2022,Sex ratio (males per 100 females),99.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2022,Population aged 0 to 14 years old (percentage),42.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2022,Population aged 60+ years old (percentage),4.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,Cameroon,2022,Population density,59.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2010,Population mid-year estimates (millions),33.96,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2010,Population mid-year estimates for males (millions),16.83,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2010,Population mid-year estimates for females (millions),17.13,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2010,Sex ratio (males per 100 females),98.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2010,Population aged 0 to 14 years old (percentage),16.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2010,Population aged 60+ years old (percentage),19.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2010,Population density,3.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2015,Population mid-year estimates (millions),35.73,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2015,Population mid-year estimates for males (millions),17.73,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2015,Population mid-year estimates for females (millions),18.00,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2015,Sex ratio (males per 100 females),98.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2015,Population aged 0 to 14 years old (percentage),16.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2015,Population aged 60+ years old (percentage),22.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
