Carbon_bomb_name_source_CB,Country_source_CB,World_region,Potential_GtCO2_source_CB,Fuel_type_source_CB,GEM_id_source_GEM,GEM_url_source_GEM,Latitude,Longitude,Latitude_longitude_source,Operators_source_GEM,Parent_company_source_GEM,Companies_involved_source_GEM,Multiple_unit_concerned_source_GEM,Carbon_bomb_description,Carbon_bomb_start_year,Status_source_CB,Status_source_GEM,Status_lvl_1,Status_lvl_2
Irati Shale,Brazil,South America,2.695278585,Oil&Gas,No informations available on GEM,No informations available on GEM,-10.353300678215836,-53.29246936182786,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Jiangjun Gebi No.2 Coal Mine,China,Asia,7.83946416,Coal,M0259,https://www.gem.wiki/Jiangjun_Gebi_No.2_Surface_Mine,44.650514,90.12045,GEM,Xinjiang Tianchi Energy,Tebian Electric Apparatus (TBEA) (86.0%);Xinjiang Joinworld Company (14.0%),Tebian Electric Apparatus (TBEA) (86.0%);Xinjiang Joinworld Company (14.0%),,新疆天池能源有限责任公司将军戈壁二号露天煤矿 位于新疆维吾尔自治区昌吉州奇台县。,No start year available,not started,operating,operating,operating
Jinjie Coal Mine,China,Asia,3.85139304,Coal,M0267,https://www.gem.wiki/Jinjie_coal_mine,38.742365,110.171171,GEM,China Energy Jinjie Energy Company,China Energy (49.0%);State Grid Corporation of China (30.0%);Others (21.0%),China Energy (49.0%);State Grid Corporation of China (30.0%);Others (21.0%),,大柳塔煤矿大柳塔井 设计生产能力1800万吨/年。,No start year available,operating,operating,operating,operating
Jinjitan Coal Mine,China,Asia,2.192462844,Coal,M0268,https://www.gem.wiki/Jinjitan_Coal_Mine,38.506707,109.819371,GEM,Shaanxi Future Energy Chemical Company,Shandong Energy (62.0%);Shaanxi Yanchang Petroleum Group (19.0%);Jiaxing Dejian Investment Partnership (5.0%);Others (14.0%),Shandong Energy (62.0%);Shaanxi Yanchang Petroleum Group (19.0%);Jiaxing Dejian Investment Partnership (5.0%);Others (14.0%),,陕西未来能源化工有限公司金鸡滩煤矿 位于陕西省榆林市榆阳区金鸡滩镇，生产能力为1500万吨/年。,No start year available,not started,operating,operating,operating
Johan Sverdrup,Norway,Europe,1.073871982,Oil&Gas,OG0001427,https://www.gem.wiki/Johan_Sverdrup_oil_field,58.8013,2.603,GEM,Equinor Energy AS,Equinor ASA (42.6%);Lundin Energy AB (20.0%);Petoro AS (17.4%);Aker (4.6%);BP (3.5%);Other (3.5%);TotalEnergies (8.4%),Equinor ASA (42.6%);Lundin Energy AB (20.0%);Petoro AS (17.4%);Aker (4.6%);BP (3.5%);Other (3.5%);TotalEnergies (8.4%),,Johan Sverdrup Field is an operating oil and gas field in Norway. It is the third largest oil fields on the Norwegian continental shelf.,2019,operating,operating,operating,operating
KPC Operation Coal Mine,Indonesia,Asia,3.0945552,Coal,M0678,https://www.gem.wiki/KPC_Operation,0.823979,117.599032,GEM,Kaltim Prima Coal,Bumi Resources (100.0%),Bumi Resources (100.0%),,"The KPC Operation is a coal complex consisting of adjoining mines--the Bengalon coal mine and Sangatta coal mine--operated by Kaltim Prima Coal (KPC), a majority owned subsidiary of Bumi Resources, in East Kalimantan, Indonesia.",No start year available,operating,operating,operating,operating
Kaniha Coal Mine,India,Asia,1.19693511,Coal,M0552,https://www.gem.wiki/Talcher_coal_mines,21.095844,85.079292,GEM,Mahanadi Coalfields Limited (MCL),Coal India (100.0%),Coal India (100.0%),,"The Talcher coal mines are a 61.83 million tonne-per-annum (MTPA) network of mines, operated by Mahanadi Coalfields Limited, a subsidiary of Coal India, on the Talcher coalfield in Angul, Odisha state, India.",No start year available,operating,operating,operating,operating
Karachaganak,Kazakhstan,Asia,1.207734375,Oil&Gas,OG0012594,https://www.gem.wiki/Karachaganak_Oil_and_Gas_Field_(Kazakhstan),50.8372,52.9707,GEM,Karachaganak Petroleum Operating B.V,Shell plc (29.2%);Eni S.P.A. (18.0%);Chevron Corporation (13.5%);PJSC LUKOIL (9.0%);Joint-Stock Company “Sovereign Wealth Fund “Samruk Kazyna” (1.0%);Others (29.299999999999997%),Shell plc (29.2%);Eni S.P.A. (18.0%);Chevron Corporation (13.5%);PJSC LUKOIL (9.0%);Joint-Stock Company “Sovereign Wealth Fund “Samruk Kazyna” (1.0%);Others (29.299999999999997%),,Karachaganak Field (Карачаганакское) is an operating oil and gas field in Kazakhstan.,1984,operating,operating,operating,operating
Kashagan,Kazakhstan,Asia,5.086161261,Oil&Gas,OG0012592,https://www.gem.wiki/Kashagan_Oil_and_Gas_Field_(Kazakhstan),46.486,50.1374,GEM,North Caspian Operating Company N.V,JSC Samruk-Kazyna (8.4%);Cooperative KazMunayGaz (8.4%);Eni S.P.A. (16.8%);ExxonMobil Corporation (16.8%);Shell plc (16.8%);Other (32.7%);Others (0.09999999999999432%),JSC Samruk-Kazyna (8.4%);Cooperative KazMunayGaz (8.4%);Eni S.P.A. (16.8%);ExxonMobil Corporation (16.8%);Shell plc (16.8%);Other (32.7%);Others (0.09999999999999432%),,Kashagan Field (Кашаган) is an operating oil and gas field in Kazakhstan. This oil and gas field is part of the larger [nan North Caspian] project.,2016,operating,operating,operating,operating
Kearl,Canada,North America,1.901181774,Oil&Gas,No informations available on GEM,No informations available on GEM,61.06828882522202,-107.90344336568108,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Kerandari BC,India,Asia,1.83304,Coal,M3877,https://www.gem.wiki/Kerendari_coal_mine,23.9125,85.0875,GEM,NTPC Mining Limited,Government of India (100.0%),Government of India (100.0%),,"The Kerendari Coal Mine is a proposed opencast mine to be operated by NTPC Mining Limited, a wholly-owned subsidiary of the state-run National Thermal Power Corporation, in North Karanpura Coalfields, Hazaribagh District, Jharkhand State, India.",2023,not started,proposed,proposed,not started
Khafji,Kuwait,Asia,1.439897189,Oil&Gas,OG0012404,https://www.gem.wiki/Khafji_Oil_Field_(Kuwait-Saudi_Arabia),28.2744,48.8864,GEM,Khafji Joint Operations,Kuwait Petroleum Corporation (50.0%);Saudi Aramco (50.0%),Kuwait Petroleum Corporation (50.0%);Saudi Aramco (50.0%),,Khafji Field is an operating oil field in Kuwait and Saudi Arabia. This oil field is part of the larger Onshore Neutral Zone complex.,1961,not started,operating,operating,operating
Khurais project,Saudi Arabia,Asia,7.634938272,Oil&Gas,OG0014117,https://www.gem.wiki/Khurais_Oil_and_Gas_Field_(Saudi_Arabia),25.2028,48.0153,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Aramco (100.0%),,Khurais Field is an operating oil and gas field in Saudi Arabia.,1963,operating,operating,operating,operating
Khursaniyah,Saudi Arabia,Asia,2.413255558,Oil&Gas,OG0014122,https://www.gem.wiki/Khursaniyah_Oil_Field_(Saudi_Arabia),27.0287,48.5437,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Aramco (100.0%),,Khursaniyah Field is an operating oil field in Saudi Arabia.,1960,operating,operating,operating,operating
Kish Gas Project,Iran,Asia,1.193632598,Oil&Gas,OG0012181,https://www.gem.wiki/Kish_Oil_and_Gas_Field_(Iran),26.5293,53.9434,GEM,Iranian Offshore Oil Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),,Kish Field is an oil and gas field in development in Iran.,No start year available,not started,in development,in development,not started
Kolubara Mine Complex,Serbia,Europe,2.52399,Coal,M3325,https://www.gem.wiki/Kolubara_Mine_Complex,44.407304,20.36354,GEM,RB Kolubara,Elektroprivreda Srbije (EPS) (100.0%),Elektroprivreda Srbije (EPS) (100.0%),," The Kolubara Mine Complex is a network of SURFACE coal mines near Kalenic, Serbia.",No start year available,operating,operating,operating,operating
Kouzi East Coal Mine,China,Asia,1.01906904,Coal,M0271,https://www.gem.wiki/Kouzi_East_Coal_Mine,32.833342,116.162687,GEM,China Coal Xinji Energy,China Coal (30.0%);China Energy (7.0%);Anhui Xinji Coal and Electricity Group (7.0%);China COSCO Shipping (56.0%),China Coal (30.0%);China Energy (7.0%);Anhui Xinji Coal and Electricity Group (7.0%);China COSCO Shipping (56.0%),,口孜东煤矿 位于安徽省阜阳市颍东区，生产能力为500万吨/年。,No start year available,operating,operating,operating,operating
Kronprins Christian Offshore,Denmark,Europe,2.23244534,Oil&Gas,No informations available on GEM,No informations available on GEM,55.670249,10.3333283,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Ku-Maloob-Zaap Project,Mexico,North America,1.960224743,Oil&Gas,No informations available on GEM,No informations available on GEM,23.61356653258618,-101.93085429856936,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Kusmunda Coal Mine,India,Asia,1.1502183,Coal,M0564,https://www.gem.wiki/Kusmunda_coal_mine,22.332635,82.666666,GEM,South Eastern Coalfields Limited (SECL),Coal India (100.0%),Coal India (100.0%),,"The Kusmunda coal mine is an open cast mine complex, operated by South Eastern Coalfields Limited, a subsidiary of Coal India, with a capacity of 62.5 million tonnes-per-annum (MTPA) in  Korba, Chhattisgarh, India.",No start year available,operating,operating,operating,operating
Kuznetsk Depression (Kuzbass) CBM,Russia,Europe,4.90609548,Oil&Gas,No informations available on GEM,No informations available on GEM,64.6837716873256,97.7622553746686,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
La Luna Shale,Colombia,South America,1.616788836,Oil&Gas,No informations available on GEM,No informations available on GEM,4.099917,-72.9088133,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
La Luna Shale,Venezuela,South America,1.090522015,Oil&Gas,No informations available on GEM,No informations available on GEM,8.0018709,-66.1109318,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Lakhanpur Coal Mine,India,Asia,1.5179997,Coal,M0566,https://www.gem.wiki/Lakhanpur_coal_mine,21.7451,83.8401,GEM,Mahanadi Coalfields Limited (MCL),Coal India (100.0%),Coal India (100.0%),,"The Lakhanpur coal mine is operated by Mahanadi Coalfields Limited, a subsidiary of Coal India. It produces 22.5 million tonnes per annum in the Ib Valley coalfield in Odisha state, India. ",2022,operating,operating,operating,operating
Leningradskoye (Kara Sea),Russia,Europe,1.800619883,Oil&Gas,OG0012357,https://www.gem.wiki/Leningradskoye_Gas_Field_(Russia),72.718933,65.722145,GEM,Gazprom,Gazprom (100.0%),Gazprom (100.0%),,Leningradskoye Field (Ленинградское) is an operating gas field in Russia.,1972,not started,operating,operating,operating
Lensky Basin CBM,Russia,Europe,2.73771576,Oil&Gas,No informations available on GEM,No informations available on GEM,64.70648552023354,97.78477524668094,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Leviathan,Israel,Asia,1.060241772,Oil&Gas,OG0000649,https://www.gem.wiki/Leviathan_Gas_Field,33.0014,33.649,GEM,Noble Energy,Chevron Corporation (39.7%);Delek Group (45.4%);Ratio Petroleum (14.9%),Chevron Corporation (39.7%);Delek Group (45.4%);Ratio Petroleum (14.9%),,Leviathan Field is an operating gas field in Israel.,2019,operating,operating,operating,operating
Liard Shale,Canada,North America,1.201818384,Oil&Gas,No informations available on GEM,No informations available on GEM,61.01717450898887,-108.08141802599526,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Libra,Brazil,South America,1.891731555,Oil&Gas,OG0000253,https://www.gem.wiki/Libra_Oil_Field_(Brazil),-10.328688258728,-53.13400159539658,Country CB,,Petrobras (28.6%);Petróleo Brasileiro S.A. (28.6%);Shell plc (14.3%);TotalEnergies (14.3%);CNOOC Limited (7.1%);China National Petroleum Corporation (7.1%),Petrobras (28.6%);Petróleo Brasileiro S.A. (28.6%);Shell plc (14.3%);TotalEnergies (14.3%);CNOOC Limited (7.1%);China National Petroleum Corporation (7.1%),,Libra Field is an operating oil field in Brazil.,2017,not started,operating,operating,operating
Lijiahao Coal Mine,China,Asia,1.47905208,Coal,M0276,https://www.gem.wiki/Lijiahao_Coal_Mine,39.738114,110.024669,GEM,China Energy Baotou Energy Company,China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),,神华集团包头有限责任公司李家壕煤矿位于内蒙古自治区鄂尔多斯市东胜区铜川镇和布日都镇。,No start year available,operating,operating,operating,operating
Listvianskaya Coal Mine,Russia,Europe,2.3876094,Coal,M0818,https://www.gem.wiki/Listvyazhnaya_coal_mine,54.521779,86.405582,GEM,SDS UGOL,Siberian Business Union-Coal (SBU) (100.0%),Siberian Business Union-Coal (SBU) (100.0%),,The Listvyazhnaya coal mine (шахта Листвяжная) is an underground coal mine in Kemerovo Oblast in Russia.,1956,operating,mothballed,mothballed,stopped
Liuzhuang Coal Mine,China,Asia,1.52054364,Coal,M0280,https://www.gem.wiki/Liuzhuang_Coal_Mine,32.805365,116.285412,GEM,China Coal Xinji Energy,China Coal (30.0%);China Energy (7.0%);Anhui Xinji Coal and Electricity Group (7.0%);Others (1.0%),China Coal (30.0%);China Energy (7.0%);Anhui Xinji Coal and Electricity Group (7.0%);Others (1.0%),,刘庄煤矿 位于安徽省颍上县古城乡境内。,No start year available,operating,operating,operating,operating
Llandovery Shale,Brazil,South America,4.273465065,Oil&Gas,No informations available on GEM,No informations available on GEM,-10.34239394345328,-53.27352161192408,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Longmaxi Shale,China,Asia,5.691701535,Oil&Gas,No informations available on GEM,No informations available on GEM,35.01741046535078,104.95947618728778,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Longmaxi Shale (Sichuan/Changyu),China,Asia,2.20989992,Oil&Gas,OG0013965,https://www.gem.wiki/West_Sichuan_Oil_and_Gas_Field_(China),34.94806719788222,104.91007158114728,Country CB,Sinopec,No informations on company (100.0%),Sinopec (100.0%),,West Sichuan Field is a discovered oil and gas field in China.,No start year available,operating,discovered,discovered,not started
Longwan Coal Mine,China,Asia,1.035854829,Coal,M0281,https://www.gem.wiki/Longwan_coal_mine,35.581287,112.222324,GEM,Shanxi Jinmei Qinxiulong Bay Energy Company,Jinneng Group (44.0%);Huayang New Material Technology Group (18.0%);Yangcheng County Yangtai Group (21.0%);Shanxi Yujin Trading Company (9.0%);Shanxi Juhuang Century Investment Company (6.0%);Others (2.0%),Jinneng Group (44.0%);Huayang New Material Technology Group (18.0%);Yangcheng County Yangtai Group (21.0%);Shanxi Yujin Trading Company (9.0%);Shanxi Juhuang Century Investment Company (6.0%);Others (2.0%),,龙湾煤矿是一座井工煤矿，位于山西省晋城市阳城县芹池镇，矿井建设规模为400万吨/年。,No start year available,not started,proposed,proposed,not started
Longwanggou Coal Mine,China,Asia,1.922670077,Coal,M0282,https://www.gem.wiki/Longwanggou_mine,39.810538,111.214212,GEM,Ordos Guoyuan Mining Development Company,China Datang (51.0%);Luen Mei Group (49.0%),China Datang (51.0%);Luen Mei Group (49.0%),,龙王沟煤矿 位于内蒙古自治区鄂尔多斯市准格尔旗薛家湾镇，属神东煤炭基地准格尔矿区规划矿井之一，设计建设规模1000万吨/年。,No start year available,operating,operating,operating,operating
Lower Zakum,United Arab Emirates,Asia,2.434419542,Oil&Gas,OG0012287,https://www.gem.wiki/Lower_Zakum_Oil_Field_(United_Arab_Emirates),24.759144729098427,53.74783588048137,GEM,ADNOC Offshore,Abu Dhabi National Oil Company (60.0%);Oil and Natural Gas Corporation (ONGC) (10.0%);INPEX Corporation (10.0%);China National Petroleum Corporation (6.0%);Other (14.0%),Abu Dhabi National Oil Company (60.0%);Oil and Natural Gas Corporation (ONGC) (10.0%);INPEX Corporation (10.0%);China National Petroleum Corporation (6.0%);Other (14.0%),,Lower Zakum Field is an operating oil field in the United Arab Emirates.,1967,operating,operating,operating,operating
Loy Yang Coal Mine,Australia,Oceania,3.0513672,Coal,M0062,https://www.gem.wiki/Loy_Yang_mine,-38.2347,146.564,GEM,Loy Yang,AGL Energy (100.0%),AGL Energy (100.0%),," The Loy Yang coal mine is a surface mine producing 28 million tonnes per annum for the Loy Yang A power station and Loy Yang B power station, near Traralgon, Victoria, Australia. The mine is owned by AGL Energy and is operated by AGL's subsidiary, Loy Yang Power.",1982,operating,operating,operating,operating
Lublin Basin Silurian Shale,Poland,Europe,5.647084841,Oil&Gas,OG0001554,https://www.gem.wiki/Lubliniec-Cieszanów_Gas_Field_(Poland),52.215933,19.134422,Country CB,Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG),No informations on company (100.0%),Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG) (100.0%),,Lubliniec-Cieszanów Field is an operating gas field in Poland.,No start year available,not started,operating,operating,operating
Lula (X-Tupi),Brazil,South America,2.545775174,Oil&Gas,OG0000452,https://www.gem.wiki/Tupi_Oil_and_Gas_Field_(Brazil),-25.398,-42.839,GEM,Petrobras,Petrobras (40.2%);Petróleo Brasileiro S.A. (40.2%);Shell plc (13.8%);Galp Energia SGPS S.A. (5.5%);Pré-Sal Petróleo S.A. (0.3%),Petrobras (40.2%);Petróleo Brasileiro S.A. (40.2%);Shell plc (13.8%);Galp Energia SGPS S.A. (5.5%);Pré-Sal Petróleo S.A. (0.3%),,Tupi Field is an operating oil and gas field in Brazil.,2010,operating,operating,operating,operating
MC #1 Coal Mine,United States,North America,2.87756172,Coal,M1045,https://www.gem.wiki/Sugar_Camp_Mine,38.0264,-88.7679,GEM,M-Class Mining,Foresight Energy (100.0%),Foresight Energy (100.0%),,"The Sugar Camp mine complex consists of the MC #1 mine and Viking mine, operated separately by M-Class Mining LLC and Viking Mine LLC, subsidiaries of Foresight Energy in Macedonia, Illinois, United States. The operations report their public data under the MC#1 name and produce 14.4 million short tons per annum.",2012,operating,operating,operating,operating
MHU Coal Mine,Indonesia,Asia,1.07524368,Coal,M0682,https://www.gem.wiki/Multi_Harapan_Utama_coal_mine,-0.534905,117.032835,GEM,Multi Harapan Utama,Private Resources Limited (100.0%),Private Resources Limited (100.0%),,"The Multi Harapan Utama (MHU) coal mine is an openpit mine, operated by PT Multi Harapan Utama, a subsidiary of Private Resources Pty Limited, in Tenggarong, Kutai Kartanegara, East Kalimantan, Indonesia.",No start year available,operating,operating,operating,operating
MZLNG Joint Development (T1-T2),Mozambique,Africa,1.310175723,Oil&Gas,No informations available on GEM,No informations available on GEM,-19.302233,34.9144977,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Madaotou Coal Mine,China,Asia,1.8353013,Coal,M0286,https://www.gem.wiki/Madaotou_coal_mine,39.840587,112.655069,GEM,Datong Coal Mine Group Madaotou Coal Industry Company,Jinneng Group (100.0%),Jinneng Group (100.0%),,马道头煤矿 建设地点位于山西省大同市左云县境内，矿井建设规模为1000万吨/年。,No start year available,not started,operating,operating,operating
Majialiang Coal Mine,China,Asia,3.17044332,Coal,M0287,https://www.gem.wiki/Majialiang_Coal_Mine,39.179446,112.420825,GEM,Datong Coal Mining Group Xuangang Coal and Electricity,Jinneng Holding Group (88.0%);Others (12.0%),Jinneng Holding Group (88.0%);Others (12.0%),,大同煤矿集团轩岗煤电有限责任公司麻家梁煤矿 位于山西省朔州市朔城区。,No start year available,operating,operating,operating,operating
Majnoon,Iraq,Asia,2.468342318,Oil&Gas,OG0011987,https://www.gem.wiki/Majnoon_Oil_Field_(Iraq),31.224,47.563,GEM,Basra Oil Company,Basra Oil Company (100.0%),Basra Oil Company (100.0%),,Majnoon Field is an operating oil field in Iraq.,No start year available,operating,operating,operating,operating
Mandakini B,India,Asia,1.31316,Coal,M1256,https://www.gem.wiki/Mandakini_B_coal_mine,21.071001,84.934995,GEM,National Thermal Power Corporation,National Thermal Power Corporation (100.0%),National Thermal Power Corporation (100.0%),,"The Mandakini B coal mine is a proposed project by NTPC Ltd, with a planned capacity of 20 million tonnes per annum, in Odisha, India.",No start year available,not started,proposed,proposed,not started
Manifa (redevelop),Saudi Arabia,Asia,5.000284718,Oil&Gas,OG0014121,https://www.gem.wiki/Manifa_Oil_Field_(Saudi_Arabia),27.7159,48.9834,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Aramco (100.0%),,Manifa Field is an operating oil field in Saudi Arabia.,1966,operating,operating,operating,operating
Mansouri Bangestan,Iran,Asia,1.045838888,Oil&Gas,OG0012183,https://www.gem.wiki/Mansouri_Oil_Field_(Iran),30.9289,48.828,GEM,National Iranian South Oil Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),,Mansouri Field is an operating oil field in Iran.,1973,operating,operating,operating,operating
Marcellus Shale,United States,North America,26.71441286,Oil&Gas,OG0016103,"https://www.gem.wiki/Tioga_County_-_Rockdale_Marcellus_Gas_Asset_(Pennsylvania,_United_States)",41.59103138,-76.9968556,GEM,Rockdale Marcellus,No informations on company (100.0%),Rockdale Marcellus (100.0%),,"Tioga County - Rockdale Marcellus Asset is an operating gas asset in the state of Pennsylvania in the United States. For all assets in Pennsylvania, the asset name is based on the name of the county and the name of the operator.",No start year available,operating,operating,operating,operating
Maritsa Coal Mines,Bulgaria,Europe,2.5191824,Coal,M3701,https://www.gem.wiki/Troyanovo_3_Coal_Mine,42.1677,26.0376,GEM,Mini Maritsa Iztok EAD,Bulgarian Energy Holding (100.0%),Bulgarian Energy Holding (100.0%),,"Troyanovo 3 Coal Mine (рудник Трояново 3) is a SURFACE mine located near Lyubenovo, Stara Zagora Province, Bulgaria.",1967,operating,operating,operating,operating
Marjan,Saudi Arabia,Asia,1.889926075,Oil&Gas,OG0014120,https://www.gem.wiki/Marjan_Oil_Field_(Saudi_Arabia),28.4389,49.6746,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Aramco (100.0%),,Marjan Field is an operating oil field in Saudi Arabia.,1973,operating,operating,operating,operating
Marun,Iran,Asia,2.408543885,Oil&Gas,OG0012163,https://www.gem.wiki/Marun_Oil_Field_(Iran),31.1217,49.3097,GEM,Marun Oil and Gas Production Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),,Marun Field is an operating oil field in Iran.,1965,operating,operating,operating,operating
Meihuajing Coal Mine,China,Asia,3.49749444,Coal,M0291,https://www.gem.wiki/Meihuajing_Coal_Mine,38.096785,106.718029,GEM,China Energy Group Ningxia Coal Industry Company,China Energy (51.0%);Ningxia State-Owned Capital Operation Group (49.0%),China Energy (51.0%);Ningxia State-Owned Capital Operation Group (49.0%),,神华宁夏煤业集团有限责任公司梅花井煤矿 位于宁夏回族自治区灵武市磁窑堡镇，生产能力为1200万吨/年。,No start year available,operating,operating,operating,operating
Mengcun Coal Mine,China,Asia,1.363070966,Coal,M0292,https://www.gem.wiki/Mengcun_Coal_Mine,35.146834,107.933183,GEM,Shaanxi Binchang Mengcun Mining Group,Shaanxi Coal and Chemical Industry Group (45.0%);China Development Bank (6.0%);Others (49.0%),Shaanxi Coal and Chemical Industry Group (45.0%);China Development Bank (6.0%);Others (49.0%),,孟村煤矿 位于陕西省境内，矿井建设规模600万吨/年，由陕西彬长矿业集团负责建设。,No start year available,not started,operating,operating,operating
Menilite Shale,Ukraine,Europe,1.666673391,Oil&Gas,No informations available on GEM,No informations available on GEM,49.4871968,31.2718321,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Menkeqing Coal Mine,China,Asia,3.685914936,Coal,M0293,https://www.gem.wiki/Menkeqing_mine,38.901778,109.538887,GEM,Zhongtian Hechuang Energy Company,China Coal (38.0%);Sinopec (38.0%);Shenergy (13.0%);Manshi Group (10.0%);Others (1.0%),China Coal (38.0%);Sinopec (38.0%);Shenergy (13.0%);Manshi Group (10.0%);Others (1.0%),,门克庆煤矿 内蒙古自治区鄂尔多斯市呼吉尔特矿区的中部，由中天合创能源有限责任公司负责建设运营，是呼吉尔特矿区规划的大型矿井之一。,No start year available,operating,operating,operating,operating
Meramec Shale,United States,North America,2.439577611,Oil&Gas,No informations available on GEM,No informations available on GEM,39.844686833398,-100.499945512161,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Mero (Libra NW),Brazil,South America,1.287024055,Oil&Gas,OG0000253,https://www.gem.wiki/Libra_Oil_Field_(Brazil),-10.32682814070147,-53.2529650578356,Country CB,,Petrobras (28.6%);Petróleo Brasileiro S.A. (28.6%);Shell plc (14.3%);TotalEnergies (14.3%);CNOOC Limited (7.1%);China National Petroleum Corporation (7.1%),Petrobras (28.6%);Petróleo Brasileiro S.A. (28.6%);Shell plc (14.3%);TotalEnergies (14.3%);CNOOC Limited (7.1%);China National Petroleum Corporation (7.1%),,Libra Field is an operating oil field in Brazil.,2017,operating,operating,operating,operating
Moher Amlohri Coal Mine,India,Asia,1.04436675,Coal,M0580,https://www.gem.wiki/Moher-Amlori_Extension_coal_mine,24.135,82.599444,GEM,Sasan Power,Reliance Power (100.0%),Reliance Power (100.0%),,"The Moher-Amlori coal mine is a 12 million tonnes per annum coal mine in the Singrauli coalfields, in Madhya Pradesh, India.",No start year available,operating,operating,operating,operating
Montney Play,Canada,North America,13.6884891,Oil&Gas,OG0011911,"https://www.gem.wiki/Northern_Montney_Oil_and_Gas_Field_(British_Columbia,_Canada)",55.99399,-120.841521,GEM,,No informations on company (100.0%),No informations on company (100.0%),,Northern Montney Field is an operating oil and gas field in the province of British Columbia in Canada.,2010,operating,operating,operating,operating
Mount Pleasant Coal Mine,Australia,Oceania,1.12027212,Coal,M0076,https://www.gem.wiki/Mount_Pleasant_coal_mine,-32.25591661,150.8499847,GEM,Mach Energy,Integrated Energy Services Corporation (100.0%),Integrated Energy Services Corporation (100.0%),," The Mount Pleasant coal mine is operated by Mach Energy Australia, near Muswellbrook, in the Upper Hunter Valley, New South Wales, Australia.",No start year available,operating,operating,operating,operating
Muduchaideng Coal Mine,China,Asia,1.719483467,Coal,M0295,https://www.gem.wiki/Muduchaideng_Coal_Mine,38.837173,109.468665,GEM,Erdos Yihua Mining Resources Company,China Coal (66.0%);Inner Mongolia Boyuan Holdings Group (11.0%);Others (23.0%),China Coal (66.0%);Inner Mongolia Boyuan Holdings Group (11.0%);Others (23.0%),,母杜柴登煤矿 位于内蒙古自治区鄂尔多斯市乌审旗境内，矿井建设规模为600万吨/年。,No start year available,not started,operating,operating,operating
Murray River Coal Mine,Canada,North America,8.4833496,Coal,M0152,https://www.gem.wiki/Murray_River,53.5226333,-118.8403882,GEM,HD Mining,HD Mining International (100.0%),HD Mining International (100.0%),," The Murray River coal mine project is a proposed coal mine near Tumbler Ridge, British Columbia, Canada.",No start year available,not started,proposed,proposed,not started
NLNG Base Project,Nigeria,Africa,1.033411352,Oil&Gas,No informations available on GEM,No informations available on GEM,9.6000359,7.9999721,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Nahr bin Umar,Iraq,Asia,1.277643431,Oil&Gas,OG0011991,https://www.gem.wiki/Nahr_Bin_Umar_Oil_and_Gas_Field_(Iraq),30.58,47.531,GEM,Basra Oil Company,Basra Oil Company (100.0%),Basra Oil Company (100.0%),,Nahr Bin Umar Field is an operating oil and gas field in Iraq.,No start year available,operating,operating,operating,operating
Nalin River No.2 Coal Mine,China,Asia,1.674721396,Coal,M0296,https://www.gem.wiki/Nalin_River_No.2_mine,38.060343,108.973298,GEM,Wushenqi Mengda Mining Company,China Coal (66.0%);Inner Mongolia Boyuan Holdings Group (11.0%);Others (23.0%),China Coal (66.0%);Inner Mongolia Boyuan Holdings Group (11.0%);Others (23.0%),,纳林河二号煤矿 位于内蒙古自治区鄂尔多斯市乌审旗无定河镇，为神东煤炭基地纳林河矿区规划矿井之一。矿井建设规模为800万吨/年。,No start year available,not started,operating,operating,operating
